iter	Passed	Remaining
920	1933	165
921	1934	163
922	1936	161
923	1938	159
924	1940	157
925	1942	155
926	1943	153
927	1945	150
928	1946	148
929	1948	146
930	1949	144
931	1951	142
932	1953	140
933	1955	138
934	1957	136
935	1959	133
936	1961	131
937	1963	129
938	1964	127
939	1966	125
940	1968	123
941	1970	121
942	1972	119
943	1973	117
944	1975	114
945	1976	112
946	1978	110
947	1979	108
948	1981	106
949	1983	104
950	1985	102
951	1987	100
952	1988	98
953	1990	95
954	1991	93
955	1993	91
956	1994	89
957	1996	87
958	1998	85
959	2000	83
960	2002	81
961	2004	79
962	2005	77
963	2007	74
964	2008	72
965	2010	70
966	2011	68
967	2013	66
968	2015	64
969	2017	62
970	2019	60
971	2020	58
972	2022	56
973	2024	54
974	2025	51
975	2027	49
976	2029	47
977	2030	45
978	2033	43
979	2035	41
980	2036	39
981	2038	37
982	2040	35
983	2041	33
984	2043	31
985	2045	29
986	2048	26
987	2050	24
988	2052	22
989	2054	20
990	2055	18
991	2057	16
992	2060	14
993	2062	12
994	2064	10
995	2066	8
996	2068	6
997	2070	4
998	2071	2
999	2073	0
